,Year,MDMONT0URN
0,2000,2.6
1,2001,3.1833333333333336
2,2002,3.733333333333333
3,2003,3.5666666666666664
4,2004,3.4583333333333335
5,2005,3.391666666666667
6,2006,3.108333333333333
7,2007,2.8249999999999997
8,2008,3.3666666666666667
9,2009,5.766666666666667
10,2010,5.75
11,2011,5.308333333333334
12,2012,5.1000000000000005
13,2013,4.916666666666667
14,2014,4.325
15,2015,3.8083333333333336
16,2016,3.3333333333333335
17,2017,3.1750000000000003
18,2018,3.0666666666666664
19,2019,2.7916666666666665
20,2020,6.116666666666667
21,2021,5.075
22,2022,2.9
23,2023,1.8499999999999999
